,Score,1-Notch Score,2-Notches Score,AMAE,MAE,MSE
LogisticAT,0.006535305444807525,0.018144399294281587,0.010220100173824815,0.3711943894512159,0.04383934574283078,0.31880232333170105
LogisticIT,0.009360764376322415,0.013649473258530621,0.00931863478639345,0.3900349926471821,0.04230274615629802,0.4269068372612149
LinearDisc,0.011262455617087478,0.010578518880131808,0.014228417361952152,0.3244893856738287,0.05567292005642652,0.8348115261660463
"SVC(C=1.0,",0.01172553910103922,0.009614873906272034,0.013117052750873987,0.4716181142888268,0.045399267571493054,0.4724780599757939
MLPClassif,0.008448905926512111,0.013155719698437813,0.012916998829896534,0.45193596634831057,0.05212745187721684,0.4611598357978112
RandomFore,0.012645526589858859,0.011196197808010738,0.009918857627573158,0.41840999437232607,0.04012725573730441,0.42454888141075886
GradientBo,0.012172779170534496,0.011914379997393159,0.013722655701564267,0.4605859823757077,0.05367189024420028,0.5444248785737696
Lin_OVN_FWD,0.05901640403048894,0.14139464356156597,0.17831329722747152,1.717984182583715,1.409651744386666,14.927296037334367
SVC_OVN_FWD,0.010807997127345956,0.014611428854246333,0.015916284303867163,0.4513502409061728,0.05806316695533287,0.5122040996039634
MLP_OVN_FWD,0.010916669280749157,0.013157894736842087,0.0167673314308021,0.42305073650808955,0.0572416853355292,0.5553891642863491
Ran_OVN_FWD,0.012559238993690615,0.014722640426023618,0.012306048946996842,0.41545539898999123,0.03264936759943062,0.3715901149148589
Gra_OVN_FWD,0.013733078500956585,0.027230986693378492,0.03148115385444349,0.5872466779386653,0.14130642552627096,1.0742338146861636
Lin_OVN_BWD,0.012704790914693414,0.03247866485407781,0.04016788444713402,0.7268427530842027,1.038674384769386,20.915027537227147
SVC_OVN_BWD,0.0027899291362896185,0.008492822966507177,0.00995126169176702,0.4346537832604646,0.14597536447224954,3.0975157517484675
MLP_OVN_BWD,0.002234634173716436,0.005538677943918768,0.00680873180419029,0.6644621141735226,0.7121705095445596,17.199071359624515
Ran_OVN_BWD,0.0009342403918548629,0.0015318479036920693,0.0027822256817255997,0.5685210455657799,0.29238386977529696,8.45128836244033
Gra_OVN_BWD,0.0024543402546271763,0.0036984748406077286,0.004944982442247461,0.48298793667242507,0.4375574541938066,9.93718391965791
Lin_OVF_FWD,0.0066006601250341605,0.013220815195835501,0.015587001080633416,0.17754119467456986,0.19399229308252736,2.648276452568141
SVC_OVF_FWD,0.0016916430171926976,0.0025904794052281957,0.006302363575272484,0.5318829530718662,0.6167710489843271,14.50172936143121
MLP_OVF_FWD,0.012477515778024193,0.02548969808929501,0.024733880418335557,0.1473410066603535,0.26669126385112385,3.4629853395337244
Ran_OVF_FWD,0.011988009393653156,0.008777003027676611,0.01412091345777388,0.2585133333025118,0.1402179723148169,1.9549593456172984
Gra_OVF_FWD,0.011237018078980823,0.015177724330681252,0.0164167832194237,0.3822731744334587,0.11271529259822728,1.1561552795572143
Lin_OVF_BWD,0.010995028960572242,0.012010069758347603,0.012060002950305388,0.3320824265542311,0.04954232972848512,0.5560351598714789
SVC_OVF_BWD,0.016139019115332946,0.013820319686441193,0.01075823781425711,0.5018393448553243,0.05311341534218209,0.5387462207084172
MLP_OVF_BWD,0.015378607485320049,0.015054672461772492,0.010634502761192753,0.36384796575526734,0.03301110343888809,0.4361635890658708
Ran_OVF_BWD,0.016875781902917126,0.016474640286770068,0.011986218935963598,0.45456820343560156,0.04502377090415461,0.5295917511696955
Gra_OVF_BWD,0.008231890207696303,0.010296118207179579,0.011631814144634663,0.4134370536384652,0.031143005521060054,0.38361020225735964
Lin_OP_FWD,0.01216866446127848,0.015179609645182116,0.011602870813397101,0.284112016250256,0.05528710204368566,0.5698194606519589
SVC_OP_FWD,0.00960594091526979,0.017933011800870976,0.012021977425121762,0.4039159194481679,0.0463114889853679,0.3250025314551505
MLP_OP_FWD,0.011843917506685711,0.01924648210858307,0.011997553988631417,0.36787425206313307,0.04087847563110507,0.2717871029347658
Ran_OP_FWD,0.011453934860790969,0.008576646780020755,0.010661377968974728,0.3892914675951752,0.03621775699882028,0.3536346448729822
Gra_OP_FWD,0.009241543498429993,0.01818653930143257,0.011793676043739093,0.3179789756052802,0.039668217189048637,0.3246276613573603
Lin_OP_BWD,0.012212678486220303,0.015760902815309376,0.012200956937799035,0.26994883830479266,0.056810626543761004,0.5570765772975956
SVC_OP_BWD,0.00960594091526979,0.017933011800870976,0.012035656677612703,0.40319431904620134,0.045943137092308496,0.3167063182029247
MLP_OP_BWD,0.009156774741150552,0.015535970634417733,0.008774557385212108,0.3728012860861238,0.03561320388204715,0.33223767651780034
Ran_OP_BWD,0.0148059841063651,0.01500755287056923,0.011798527911081522,0.3078514502588086,0.038793619858640174,0.32151846210066687
Gra_OP_BWD,0.010206791377986526,0.020255968287798513,0.01256208682914903,0.3340588423965709,0.059386187644800435,0.465051233745286
